"","Codigo.particpante","Promedio_Acumulado","Edad_a..os","Sexo.","Grado_Escolar","Colegio","Ciudad_Residencia","Nacionalidad","CI_._Factor.g.R","TA_Total","CI_Total","PE_total","Grit.S","EP_Total","O_total","CP_Total","ESP_Total","PE_Total","DA_Total","Preocupaci..n_perfeccionista","Esfuerzo_Perfeccionista","Perfeccionismo_de_.Frost","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","PA11","PA12","PA13","PA14","PA15","PA16","PA.Total","PSP1","PSP2","PSP3","PSP4","PSP5","PSP6","PSP7","PSP8","PSP9","PSP_Total","POO1","POO2","POO3","POO4","POO5","POO6","POO7","POO_Total","iq_g_115","iq_g_128","iq_g_median","even_odd","location","total_score_oros"
"163",163,"4",11,"2",6,2,1,1,117,24,2.1875,4.375,3.28125,17,27,6,31,22,11,56,58,114,2,3,1,2,1,1,3,2,1,2,2,1,1,1,2,2,27,1,1,1,2,1,1,2,1,3,13,2,2,1,1,1,1,2,10,"above115","below128","above_m","odd","col",50
"164",164,"",14,"2",8,1,1,1,90,15,3.125,3.75,3.4375,20,21,12,23,27,14,73,44,117,3,3,2,3,3,1,3,3,1,2,1,1,2,3,2,3,36,3,2,2,2,2,2,1,2,2,18,1,2,2,2,2,1,1,11,"below115","below128","below_m","even","col",65
"165",165,"",12,"1",7,7,5,2,91,18,2.5,3.4375,2.96875,17,25,18,32,32,17,84,57,141,3,2,2,3,2,1,3,2,2,3,1,3,2,3,3,3,38,2,2,3,2,1,2,2,2,3,19,1,2,3,1,1,2,1,11,"below115","below128","below_m","odd","mex",68
"166",166,"",12,"1",7,7,5,2,99,21,1.875,4.375,3.125,20,20,15,28,43,15,93,48,141,2,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,34,1,3,3,1,1,2,1,1,3,16,2,1,3,1,1,1,1,10,"below115","below128","below_m","even","mex",60
"167",167,"3.2",14,"1",7,5,3,1,119,20,3.75,2.8125,3.28125,16,26,7,28,32,12,67,54,121,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,45,2,1,2,2,1,1,2,1,2,14,3,3,3,2,1,2,1,15,"above115","below128","above_m","odd","col",74
"168",168,"",12,"1",7,7,5,2,80,19,1.5625,3.4375,2.5,13,18,10,20,20,10,53,38,91,1,1,1,1,1,1,1,1,3,3,3,3,3,1,3,1,28,3,3,3,3,3,2,3,3,1,24,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","mex",59
"169",169,"",11,"1",7,7,5,2,104,17,2.5,3.4375,2.96875,19,27,20,25,29,15,83,52,135,3,2,2,1,2,3,2,1,2,1,1,2,1,2,3,1,29,3,2,2,3,2,2,3,2,3,22,3,2,2,3,3,2,2,17,"below115","below128","above_m","odd","mex",68
"170",170,"",13,"1",7,7,5,2,104,19,3.75,2.8125,3.28125,16,27,15,21,23,14,68,48,116,2,2,1,3,1,2,1,1,1,2,1,1,2,1,2,1,24,2,1,2,2,1,1,2,1,1,13,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","mex",44
"171",171,"4.2",11,"1",6,4,1,1,109,23,1.5625,4.6875,3.125,17,29,8,28,18,15,58,57,115,3,3,2,2,2,1,3,3,3,3,1,2,2,2,2,1,35,2,3,2,2,2,1,1,1,2,16,1,1,1,1,1,1,1,7,"below115","below128","above_m","odd","col",58
"172",172,"",15,"1",9,6,1,1,100,20,3.125,3.125,3.125,14,15,14,29,23,10,61,44,105,3,1,2,1,2,3,1,1,3,3,2,1,2,3,2,1,31,1,2,1,1,1,1,1,1,3,12,2,2,1,1,1,1,1,9,"below115","below128","below_m","even","col",52
"173",173,"",13,"2",8,8,6,2,111,17,2.8125,3.125,2.96875,10,20,9,18,18,12,49,38,87,2,2,1,1,2,1,1,1,2,3,1,1,2,2,1,1,24,1,2,2,1,1,1,1,1,1,11,1,1,1,1,1,1,1,7,"below115","below128","above_m","odd","mex",42
"174",174,"",15,"2",8,6,1,1,109,5,2.8125,5,3.90625,10,25,5,17,12,11,38,42,80,3,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,40,2,3,2,3,3,3,1,2,3,22,3,2,3,2,2,1,1,14,"below115","below128","above_m","even","col",76
"175",175,"",13,"2",7,6,1,3,104,10,2.5,2.5,2.5,7,10,7,10,14,11,39,20,59,1,3,1,1,1,1,1,1,3,3,3,2,2,1,3,2,29,3,3,3,3,3,3,3,3,3,27,3,3,3,3,3,3,3,21,"below115","below128","above_m","odd","col",77
"176",176,"",12,"2",6,1,1,1,85,23,2.8125,3.4375,3.125,8,15,4,16,14,7,33,31,64,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,26,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","col",42
"177",177,"",12,"1",7,7,5,2,100,21,2.8125,2.8125,2.8125,16,25,17,25,28,16,77,50,127,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,1,34,2,2,2,2,2,2,2,2,2,18,3,1,1,1,3,1,1,11,"below115","below128","below_m","odd","mex",63
"178",178,"3.5",14,"2",8,5,3,1,109,16,3.4375,3.4375,3.4375,13,22,8,21,16,12,49,43,92,2,2,3,2,2,2,2,2,3,3,2,2,1,1,2,2,33,1,1,2,1,1,1,1,1,1,10,1,1,1,1,2,1,1,8,"below115","below128","above_m","even","col",51
"179",179,"",11,"1",7,7,5,2,82,20,3.125,3.4375,3.28125,14,12,11,25,26,17,68,37,105,1,2,3,1,1,2,1,1,2,1,1,3,3,3,2,3,30,3,2,2,2,1,3,2,3,2,20,3,2,1,2,3,1,1,13,"below115","below128","below_m","odd","mex",63
"180",180,"3.4",12,"1",6,5,3,3,79,24,3.75,4.375,4.0625,19,27,10,30,22,14,65,57,122,3,3,2,3,2,1,3,2,3,3,1,3,2,3,3,3,40,3,2,3,3,3,1,2,2,3,22,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","col",70
"181",181,"",14,"1",9,1,1,1,82,24,3.4375,4.0625,3.75,16,24,15,26,20,12,63,50,113,3,3,1,2,3,1,2,1,1,3,1,2,1,2,2,1,29,1,1,2,2,1,1,2,1,3,14,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","col",50
"182",182,"",13,"1",8,7,5,2,103,23,1.875,4.6875,3.28125,8,25,11,26,17,12,48,51,99,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,3,1,1,1,11,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","mex",39
"183",183,"",11,"1",6,1,1,1,97,25,2.1875,4.0625,3.125,19,26,11,23,20,9,59,49,108,2,3,2,3,2,1,2,2,3,3,3,3,3,3,3,2,40,3,2,2,3,2,2,2,3,3,22,1,1,1,1,3,2,1,10,"below115","below128","below_m","odd","col",72
"184",184,"",16,"1",8,6,1,1,101,22,3.75,4.6875,4.21875,19,26,10,28,20,11,60,54,114,2,1,2,1,1,1,1,1,2,3,1,1,3,2,2,1,25,1,2,1,1,1,1,1,1,2,11,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","col",44
"185",185,"",14,"1",9,7,5,2,101,23,3.125,3.75,3.4375,17,23,13,22,23,13,66,45,111,3,2,2,2,2,3,3,2,1,3,3,3,3,3,2,1,38,1,3,1,2,1,1,2,2,2,15,3,2,2,1,1,2,1,12,"below115","below128","below_m","odd","mex",65
"186",186,"",13,"2",6,6,1,1,92,16,1.25,1.25,1.25,6,16,6,9,14,4,30,25,55,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,18,2,1,3,1,1,1,1,1,1,12,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","col",37
