"","Codigo.particpante","Promedio_Acumulado","Edad_a..os","Sexo.","Grado_Escolar","Colegio","Ciudad_Residencia","Nacionalidad","CI_._Factor.g.R","TA_Total","CI_Total","PE_total","Grit.S","EP_Total","O_total","CP_Total","ESP_Total","PE_Total","DA_Total","Preocupaci..n_perfeccionista","Esfuerzo_Perfeccionista","Perfeccionismo_de_.Frost","PA1","PA2","PA3","PA4","PA5","PA6","PA7","PA8","PA9","PA10","PA11","PA12","PA13","PA14","PA15","PA16","PA.Total","PSP1","PSP2","PSP3","PSP4","PSP5","PSP6","PSP7","PSP8","PSP9","PSP_Total","POO1","POO2","POO3","POO4","POO5","POO6","POO7","POO_Total","iq_g_115","iq_g_128","iq_g_median","even_odd","location","total_score_oros"
"229",229,"3.7",13,"1",8,5,3,1,96,14,5,2.5,3.75,14,19,13,18,28,11,66,37,103,2,1,1,1,2,1,1,1,1,3,1,3,2,3,2,3,28,1,1,2,1,1,1,2,1,3,13,1,2,3,1,1,1,1,10,"below115","below128","below_m","odd","col",51
"230",230,"",13,"2",8,8,6,2,115,22,1.875,4.6875,3.28125,15,21,13,33,39,14,81,54,135,3,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,44,1,3,2,2,1,1,1,1,1,13,2,3,3,1,2,2,3,16,"below115","below128","above_m","even","mex",73
"231",231,"",13,"1",8,8,6,2,118,20,3.75,3.4375,3.59375,15,21,7,19,21,14,57,40,97,2,2,3,3,2,3,2,3,3,3,2,3,3,3,3,2,42,2,2,1,1,1,1,1,1,2,12,1,2,2,1,2,1,2,11,"above115","below128","above_m","odd","mex",65
"232",232,"",14,"1",9,7,5,2,115,21,2.8125,2.8125,2.8125,18,25,11,25,20,16,65,50,115,2,1,1,2,1,1,1,2,2,3,2,3,2,2,3,2,30,2,1,1,1,1,1,1,2,3,13,1,1,1,1,2,1,1,8,"below115","below128","above_m","even","mex",51
"233",233,"",16,"1",9,6,1,1,93,22,5,4.6875,4.84375,22,29,14,31,38,19,93,60,153,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,45,3,3,2,3,3,2,3,3,3,25,2,2,3,2,1,1,1,12,"below115","below128","below_m","odd","col",82
"234",234,"",12,"2",8,6,1,1,103,7,2.1875,3.125,2.65625,13,17,9,19,11,8,41,36,77,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,19,1,2,1,1,1,1,1,1,1,10,1,1,2,1,1,1,1,8,"below115","below128","above_m","even","col",37
"235",235,"",12,"1",7,7,5,2,100,21,3.125,3.75,3.4375,16,25,8,25,21,13,58,50,108,2,2,2,3,1,1,1,3,2,1,1,1,1,1,2,1,25,3,2,3,2,1,1,1,2,1,16,1,1,2,1,1,1,1,8,"below115","below128","below_m","odd","mex",49
"236",236,"",13,"1",7,6,1,1,86,23,1.875,4.0625,2.96875,23,30,9,29,18,8,58,59,117,3,3,2,2,1,1,3,1,1,2,2,2,2,3,2,1,31,3,2,3,3,1,1,2,3,3,21,2,1,1,1,2,1,1,9,"below115","below128","below_m","even","col",61
"237",237,"2.8",15,"2",9,5,3,1,75,20,2.5,3.125,2.8125,17,21,11,24,20,11,59,45,104,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,1,2,1,3,1,1,1,1,2,13,1,2,1,1,2,1,2,10,"below115","below128","below_m","odd","col",55
"238",238,"",11,"1",6,10,5,2,107,17,2.8125,2.8125,2.8125,11,25,7,24,15,9,42,49,91,3,2,2,1,1,2,2,1,2,1,1,3,1,2,3,2,29,2,1,1,2,1,1,1,2,1,12,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","mex",48
"239",239,"",11,"2",6,10,5,2,79,23,2.5,3.75,3.125,17,23,10,25,24,13,64,48,112,2,3,1,1,2,1,3,2,1,1,1,2,1,2,2,1,26,2,1,2,3,1,1,1,1,1,13,1,1,1,1,2,1,1,8,"below115","below128","below_m","odd","mex",47
"240",240,"",15,"2",9,1,1,1,108,23,3.75,5,4.375,21,28,9,34,24,9,63,62,125,1,2,2,2,1,1,1,1,1,3,2,2,3,2,3,1,28,2,3,2,2,2,1,2,1,1,16,2,3,2,1,3,1,2,14,"below115","below128","above_m","even","col",58
"241",241,"3.5",12,"1",6,5,1,3,89,18,3.125,2.8125,2.96875,16,22,15,25,24,16,71,47,118,2,2,3,1,1,1,2,1,3,3,1,2,3,3,3,3,34,2,1,1,2,1,1,1,2,3,14,2,1,2,1,1,1,1,9,"below115","below128","below_m","odd","col",57
"242",242,"",14,"1",8,1,1,1,94,22,2.1875,4.6875,3.4375,15,27,6,25,13,16,50,52,102,2,3,2,3,2,1,1,2,2,3,1,2,2,2,3,2,33,1,1,2,1,1,1,1,1,3,12,2,1,1,1,1,1,1,8,"below115","below128","below_m","even","col",53
"243",243,"",15,"1",7,6,1,1,93,17,4.375,2.1875,3.28125,21,23,14,15,24,16,75,38,113,2,3,2,2,2,1,2,2,2,3,2,3,1,3,3,3,36,3,2,3,3,3,1,2,3,3,23,1,1,2,1,2,1,1,9,"below115","below128","below_m","odd","col",68
"244",244,"3.9",15,"1",8,5,3,1,109,21,2.5,3.4375,2.96875,17,22,16,27,23,17,73,49,122,2,2,3,3,2,3,2,2,2,3,2,3,3,2,3,3,40,2,3,2,2,2,2,2,2,2,19,3,2,2,2,2,1,1,13,"below115","below128","above_m","even","col",72
"245",245,"2.9",13,"1",7,5,3,1,90,22,2.5,2.5,2.5,14,26,10,23,16,13,53,49,102,2,2,1,2,1,1,1,1,2,3,1,2,2,3,3,3,30,1,1,2,1,2,1,1,1,2,12,1,1,2,1,2,1,1,9,"below115","below128","below_m","odd","col",51
"246",246,"",13,"1",8,8,6,2,116,18,3.125,3.125,3.125,13,22,10,27,25,17,65,49,114,2,2,2,3,1,2,3,2,3,3,3,3,3,2,3,1,38,1,1,2,1,1,1,1,1,1,10,3,3,3,1,1,1,2,14,"above115","below128","above_m","even","mex",62
"247",247,"",11,"1",7,7,5,2,76,16,2.5,3.125,2.8125,16,14,11,18,26,8,61,32,93,3,3,1,2,1,2,2,3,2,2,2,2,1,1,2,1,30,1,1,3,2,2,1,2,3,2,17,3,2,2,3,2,3,2,17,"below115","below128","below_m","odd","mex",64
"248",248,"",14,"2",8,7,5,2,89,19,3.4375,3.75,3.59375,19,26,11,31,34,10,74,57,131,2,3,2,2,3,1,1,2,2,3,1,3,3,3,2,3,36,3,2,2,2,3,2,3,1,1,19,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","mex",62
"249",249,"",13,"2",8,7,5,2,101,22,2.5,3.75,3.125,15,23,10,21,19,10,54,44,98,1,1,1,2,1,1,1,1,2,3,1,3,2,2,2,2,26,1,1,1,1,1,1,1,1,2,10,1,2,1,1,1,1,1,8,"below115","below128","below_m","odd","mex",44
"250",250,"",13,"2",6,6,1,1,104,21,2.1875,3.75,2.96875,15,22,8,22,15,12,50,44,94,2,2,2,3,3,3,2,2,2,1,2,1,2,1,1,1,30,1,1,3,1,1,2,3,2,2,16,1,1,1,1,2,1,1,8,"below115","below128","above_m","even","col",54
"251",251,"",14,"2",9,8,6,2,103,22,5,2.8125,3.90625,20,22,19,28,44,18,101,50,151,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,2,3,1,2,2,3,1,2,3,19,1,3,2,2,3,1,1,13,"below115","below128","above_m","odd","mex",80
"252",252,"3.8",15,"1",9,5,3,1,84,19,2.5,3.75,3.125,12,25,8,20,20,10,50,45,95,2,1,1,3,1,1,1,1,1,3,2,3,3,3,3,2,31,1,1,2,1,1,1,3,1,2,13,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","col",51
"253",253,"",14,"1",9,6,1,1,110,25,4.375,4.375,4.375,10,25,5,17,12,11,38,42,80,2,2,1,1,1,1,2,1,2,3,1,1,1,1,2,1,23,2,2,1,1,2,1,2,1,2,14,1,1,2,1,1,1,1,8,"below115","below128","above_m","odd","col",45
"254",254,"",12,"2",6,6,1,1,104,20,2.8125,4.375,3.59375,13,28,12,23,21,13,59,51,110,2,2,3,3,3,3,2,2,1,3,2,3,1,3,3,2,38,2,2,1,1,1,1,1,2,3,14,1,2,1,1,2,1,2,10,"below115","below128","above_m","even","col",62
"255",255,"",15,"1",9,6,1,1,91,17,4.0625,3.125,3.59375,20,23,15,20,23,16,74,43,117,2,2,2,2,3,3,2,2,2,3,2,1,2,2,2,2,34,2,2,2,2,2,3,2,2,2,19,1,2,2,1,2,1,1,10,"below115","below128","below_m","odd","col",63
"256",256,"",13,"1",8,8,6,2,113,21,4.0625,2.8125,3.4375,24,15,17,13,15,11,67,28,95,1,1,1,2,1,2,1,2,2,3,1,3,2,3,3,3,31,3,3,1,3,3,3,1,3,3,23,2,1,1,1,2,1,1,9,"below115","below128","above_m","even","mex",63
"257",257,"3.5",11,"2",6,5,3,1,77,20,3.4375,3.4375,3.4375,15,25,5,31,28,17,65,56,121,2,3,1,1,2,1,3,1,2,3,2,3,1,1,1,2,29,3,1,3,3,1,1,1,1,3,17,1,1,3,1,2,1,1,10,"below115","below128","below_m","odd","col",56
"258",258,"",15,"2",8,6,1,1,94,22,2.1875,3.75,2.96875,20,28,11,25,17,11,59,53,112,3,2,3,2,2,3,2,3,2,2,3,2,3,2,3,2,39,3,1,3,3,1,2,2,1,2,18,2,3,2,1,3,2,1,14,"below115","below128","below_m","even","col",71
"259",259,"",12,"2",6,6,1,1,104,19,3.75,4.0625,3.90625,15,25,10,23,32,10,67,48,115,2,2,3,3,1,2,2,2,2,2,2,1,2,1,1,1,29,3,1,3,3,2,1,3,3,1,20,1,1,1,1,2,1,1,8,"below115","below128","above_m","odd","col",57
"260",260,"",13,"1",8,9,5,2,111,19,1.5625,2.1875,1.875,15,18,13,33,31,14,73,51,124,3,1,2,3,1,1,1,1,2,3,1,3,2,3,2,3,32,1,3,2,3,3,1,1,2,2,18,1,1,1,1,2,1,1,8,"below115","below128","above_m","even","mex",58
"261",261,"3.9",12,"2",6,5,3,1,104,23,3.125,3.75,3.4375,14,24,12,27,20,13,59,51,110,2,2,1,1,1,2,1,1,1,2,3,2,1,2,2,2,26,2,2,2,1,2,1,2,1,3,16,1,1,2,1,1,1,1,8,"below115","below128","above_m","odd","col",50
"262",262,"",12,"2",7,7,5,2,86,25,2.1875,3.4375,2.8125,17,24,10,27,24,10,61,51,112,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,26,3,1,3,3,1,1,1,3,2,18,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","mex",51
"263",263,"",14,"2",7,1,1,1,110,16,3.4375,4.0625,3.75,20,26,9,24,20,13,62,50,112,2,2,2,2,2,1,1,1,1,1,3,1,2,1,1,3,26,2,1,2,1,2,1,2,3,2,16,1,1,2,1,1,1,1,8,"below115","below128","above_m","odd","col",50
"264",264,"",14,"2",9,8,6,2,113,25,1.25,5,3.125,6,25,4,20,10,4,24,45,69,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","mex",34
"265",265,"",11,"1",6,10,5,2,93,24,2.8125,5,3.90625,10,27,11,24,17,16,54,51,105,2,1,2,2,1,1,1,1,1,2,1,2,1,3,3,3,27,1,2,1,2,2,1,1,2,3,15,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",49
"266",266,"3.2",13,"2",8,5,3,1,116,20,2.8125,2.8125,2.8125,12,21,8,19,22,14,56,40,96,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,22,2,1,1,1,1,1,2,1,2,12,1,1,1,1,1,1,1,7,"above115","below128","above_m","even","col",41
"267",267,"",14,"2",7,6,1,1,100,17,2.5,3.4375,2.96875,21,21,16,25,39,14,90,46,136,2,2,2,2,3,2,2,3,2,3,1,2,2,3,3,3,37,3,2,2,2,2,2,1,2,2,18,2,2,2,1,2,1,1,11,"below115","below128","below_m","odd","col",66
"268",268,"",15,"1",9,6,1,1,95,19,3.75,3.125,3.4375,12,24,9,20,27,13,61,44,105,3,1,1,2,2,1,1,1,2,3,1,2,3,2,2,2,29,3,3,2,2,3,1,1,2,3,20,2,3,1,1,2,1,1,11,"below115","below128","below_m","even","col",60
"269",269,"",14,"2",8,6,1,1,90,23,2.8125,5,3.90625,14,24,8,22,9,16,47,46,93,2,2,1,1,1,1,1,1,2,3,3,3,1,2,2,1,27,3,1,1,1,1,1,1,1,1,11,1,1,1,1,2,1,1,8,"below115","below128","below_m","odd","col",46
"270",270,"",12,"2",7,7,5,2,101,24,2.8125,3.125,2.96875,15,25,8,24,18,10,51,49,100,2,2,3,1,2,3,3,2,3,3,3,3,3,3,3,3,42,2,1,3,2,2,1,2,2,2,17,3,2,2,1,1,1,2,12,"below115","below128","below_m","even","mex",71
"271",271,"",14,"2",9,7,5,2,93,22,3.125,3.125,3.125,19,22,13,22,28,13,73,44,117,2,2,1,2,1,1,2,3,2,3,1,3,3,3,3,3,35,2,2,1,2,2,1,1,2,2,15,2,1,2,1,1,1,1,9,"below115","below128","below_m","odd","mex",59
"272",272,"",14,"1",8,6,1,1,83,23,3.125,3.4375,3.28125,19,27,12,30,36,13,80,57,137,3,2,3,2,1,2,2,1,2,3,2,2,2,2,3,2,34,2,2,3,2,1,1,3,1,2,17,1,2,1,1,1,1,1,8,"below115","below128","below_m","even","col",59
"273",273,"3.3",11,"1",6,5,3,1,81,23,1.875,3.125,2.5,23,28,15,19,19,20,77,47,124,2,2,1,3,1,1,2,3,1,3,1,1,1,1,3,1,27,2,1,1,2,3,1,1,2,1,14,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","col",48
"274",274,"4.2",11,"1",6,4,1,1,107,14,3.75,3.75,3.75,8,22,12,27,25,20,65,49,114,2,2,1,2,3,2,1,2,2,3,1,3,3,3,3,3,36,1,1,3,1,1,1,3,1,3,15,2,1,2,1,1,1,2,10,"below115","below128","above_m","even","col",61
"275",275,"",13,"2",8,7,5,2,96,25,4.375,4.375,4.375,6,25,14,20,15,8,43,45,88,2,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,21,3,3,1,3,3,3,1,3,3,23,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",51
"276",276,"",12,"2",7,7,5,2,93,25,5,4.6875,4.84375,10,27,8,24,25,18,61,51,112,2,1,1,3,1,2,1,1,2,2,1,2,1,2,3,1,26,1,1,1,1,1,1,1,1,2,10,1,1,2,1,1,1,1,8,"below115","below128","below_m","even","mex",44
"277",277,"3.7",15,"1",8,4,1,1,115,18,2.1875,2.1875,2.1875,12,21,8,18,21,12,53,39,92,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,21,1,1,2,1,1,1,1,1,2,11,1,1,1,1,1,1,1,7,"below115","below128","above_m","odd","col",39
"278",278,"",16,"1",9,6,1,1,103,21,2.1875,4.375,3.28125,22,22,10,33,21,14,67,55,122,3,2,2,3,1,1,2,1,2,3,2,2,3,1,3,2,33,3,2,3,3,2,3,2,2,1,21,1,2,1,1,3,1,1,10,"below115","below128","above_m","even","col",64
"279",279,"3.3",11,"2",6,5,3,1,99,19,2.1875,3.75,2.96875,16,21,9,29,20,10,55,50,105,1,3,2,2,3,1,2,1,2,1,3,2,1,1,2,1,28,1,1,2,3,2,1,1,1,2,14,1,1,2,1,1,1,1,8,"below115","below128","below_m","odd","col",50
"280",280,"",13,"2",6,6,1,3,75,25,2.8125,3.75,3.28125,10,12,7,20,25,8,50,32,82,3,3,1,3,1,1,2,3,1,2,1,3,2,3,3,1,33,2,1,1,2,1,2,1,2,2,14,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","col",55
"281",281,"",13,"1",8,1,1,1,109,21,1.875,3.4375,2.65625,19,25,16,24,26,15,76,49,125,2,2,1,2,1,1,1,1,2,3,3,3,2,3,3,2,32,2,3,1,2,3,2,1,2,3,19,1,1,1,1,1,1,1,7,"below115","below128","above_m","odd","col",58
"282",282,"",14,"2",9,7,5,2,106,22,3.125,2.1875,2.65625,12,21,5,20,13,18,48,41,89,2,2,1,3,1,1,2,2,2,3,1,1,2,3,1,1,28,1,1,1,1,1,1,1,1,2,10,1,2,3,1,1,1,1,10,"below115","below128","above_m","even","mex",48
"283",283,"",14,"2",9,3,4,1,98,20,2.5,4.6875,3.59375,22,30,10,34,19,12,63,64,127,3,2,2,3,1,1,2,1,2,3,2,2,3,3,3,3,36,2,3,2,3,3,2,1,2,1,19,1,2,2,1,3,1,1,11,"below115","below128","below_m","odd","col",66
"284",284,"",13,"1",7,7,5,2,74,23,3.125,3.4375,3.28125,13,23,15,25,26,10,64,48,112,3,2,2,1,2,1,3,1,1,2,3,2,2,1,2,1,29,2,1,3,1,1,1,1,2,1,13,1,1,2,1,1,1,1,8,"below115","below128","below_m","even","mex",50
"285",285,"",16,"1",9,6,1,1,82,7,4.0625,3.125,3.59375,19,22,13,25,33,15,80,47,127,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,40,3,3,2,2,2,3,2,3,2,22,3,2,3,2,3,2,3,18,"below115","below128","below_m","odd","col",80
"286",286,"",15,"2",9,1,1,1,101,23,2.5,4.6875,3.59375,19,23,10,26,23,13,65,49,114,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,35,2,2,2,1,1,1,2,2,3,16,1,1,2,1,1,1,1,8,"below115","below128","below_m","even","col",59
"287",287,"3.7",15,"1",9,5,3,1,84,20,2.5,3.4375,2.96875,16,23,12,22,23,13,64,45,109,2,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,36,3,2,2,2,2,1,1,2,2,17,2,2,3,1,1,1,1,11,"below115","below128","below_m","odd","col",64
"288",288,"",13,"2",9,8,6,2,101,25,1.875,5,3.4375,15,30,4,27,18,11,48,57,105,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,24,1,1,2,2,1,1,3,1,1,13,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","mex",45
"289",289,"",11,"2",6,6,1,1,100,22,1.25,4.0625,2.65625,18,25,4,23,18,11,51,48,99,3,3,3,2,1,2,3,3,3,2,1,2,1,1,1,1,32,3,1,1,3,1,1,1,2,3,16,1,1,1,1,3,1,1,9,"below115","below128","below_m","odd","col",57
"290",290,"",12,"2",6,6,1,3,99,8,2.8125,3.4375,3.125,16,24,8,26,30,12,66,50,116,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,1,43,1,2,3,3,1,1,1,3,3,18,2,1,3,1,1,1,1,10,"below115","below128","below_m","even","col",71
"291",291,"",15,"2",9,6,1,1,73,18,2.1875,5,3.59375,16,19,10,29,23,12,61,48,109,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,20,1,1,3,1,1,1,1,1,3,13,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","col",40
"292",292,"",11,"2",7,9,5,2,97,25,3.125,4.6875,3.90625,18,30,11,34,24,8,61,64,125,3,3,2,3,3,2,3,2,2,3,3,3,2,3,3,2,42,3,2,2,3,3,1,1,3,2,20,2,1,1,1,3,1,2,11,"below115","below128","below_m","even","mex",73
"293",293,"",11,"2",6,10,5,2,93,18,2.1875,1.875,2.03125,11,20,6,15,17,16,50,35,85,1,1,1,2,1,1,1,1,2,3,2,1,1,1,1,1,21,1,1,1,1,1,1,1,1,2,10,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","mex",38
"294",294,"",13,"2",7,7,5,2,99,24,4.6875,4.6875,4.6875,13,30,11,27,18,17,59,57,116,2,2,3,3,3,1,2,3,1,2,3,2,3,3,1,2,36,1,2,2,3,2,1,1,2,2,16,1,2,1,1,1,1,2,9,"below115","below128","below_m","even","mex",61
"295",295,"",12,"2",6,6,1,1,100,13,3.75,2.5,3.125,10,29,11,24,26,13,60,53,113,3,2,1,1,2,3,1,3,3,3,1,2,1,1,3,2,32,1,1,1,2,1,1,1,1,3,12,1,1,1,1,2,1,1,8,"below115","below128","below_m","odd","col",52
"296",296,"3.3",14,"2",8,5,3,1,96,12,2.8125,4.375,3.59375,16,22,14,27,22,12,64,49,113,3,2,3,2,1,1,2,1,2,2,2,1,2,1,3,3,31,2,2,3,2,1,1,1,1,2,15,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","col",54
"297",297,"",15,"1",9,6,1,1,95,20,2.8125,2.1875,2.5,11,14,10,14,17,8,46,28,74,2,1,1,2,2,2,1,2,2,3,2,3,3,3,2,2,33,3,2,2,2,2,2,2,2,2,19,1,1,2,1,2,1,1,9,"below115","below128","below_m","odd","col",61
"298",298,"",14,"2",9,7,5,2,77,22,2.8125,3.4375,3.125,10,23,8,25,21,10,49,48,97,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,25,1,2,2,1,1,1,1,2,2,13,1,2,1,1,1,1,1,8,"below115","below128","below_m","even","mex",46
"299",299,"",12,"1",6,3,4,1,102,11,3.75,3.4375,3.59375,18,23,15,28,21,18,72,51,123,3,2,2,2,1,1,2,1,1,3,1,2,1,2,1,2,27,2,2,1,2,2,1,1,2,2,15,1,1,1,1,2,1,1,8,"below115","below128","below_m","odd","col",50
"300",300,"2.9",16,"2",9,5,3,1,86,19,1.25,5,3.125,15,29,11,31,33,14,73,60,133,3,3,3,3,2,1,2,3,2,3,1,2,3,3,3,3,40,2,2,3,3,2,2,3,2,2,21,1,1,1,1,2,1,1,8,"below115","below128","below_m","even","col",69
"301",301,"4.2",12,"1",6,4,1,1,117,24,2.1875,3.75,2.96875,14,30,5,24,16,7,42,54,96,3,3,1,2,1,1,2,1,2,2,1,2,2,2,3,1,29,2,1,2,2,1,1,2,1,1,13,2,1,1,1,2,1,1,9,"above115","below128","above_m","odd","col",51
"302",302,"4",14,"1",8,5,3,1,100,25,2.1875,5,3.59375,17,28,13,31,31,16,77,59,136,2,3,2,3,1,1,2,1,3,3,1,3,3,3,3,3,37,2,2,3,2,1,2,2,2,3,19,1,1,1,1,3,1,1,9,"below115","below128","below_m","even","col",65
"303",303,"",15,"2",8,6,1,1,100,17,3.125,3.4375,3.28125,19,20,16,22,30,13,78,42,120,3,2,3,2,3,3,2,2,2,3,1,2,2,1,3,1,35,2,1,1,3,2,1,3,1,2,16,1,1,2,1,2,1,1,9,"below115","below128","below_m","odd","col",60
"304",304,"4.1",11,"1",6,5,3,1,104,25,1.875,4.6875,3.28125,11,26,8,21,19,11,49,47,96,2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,23,1,1,1,1,1,1,1,1,2,10,1,1,1,1,3,1,1,9,"below115","below128","above_m","even","col",42
"305",305,"3.1",14,"2",7,5,3,1,80,23,2.5,3.125,2.8125,25,24,17,29,35,19,96,53,149,2,1,1,1,1,1,1,1,1,3,1,3,1,3,3,3,27,2,2,3,2,2,1,2,2,3,19,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","col",53
"306",306,"",12,"2",7,3,4,1,106,14,3.125,3.75,3.4375,17,22,8,22,25,11,61,44,105,2,2,2,1,1,1,2,1,1,2,1,1,2,2,1,1,23,2,1,1,2,1,1,2,2,1,13,1,1,1,1,2,1,1,8,"below115","below128","above_m","even","col",44
"307",307,"",12,"2",8,8,6,2,115,25,1.25,4.0625,2.65625,16,29,9,24,30,8,63,53,116,2,2,2,3,2,1,2,1,2,3,2,3,1,3,3,3,35,2,1,1,3,1,1,1,1,1,12,1,1,1,1,1,1,1,7,"below115","below128","above_m","odd","mex",54
"308",308,"",15,"1",8,7,5,2,78,24,2.8125,5,3.90625,17,27,7,29,19,8,51,56,107,3,3,2,1,3,2,3,3,1,3,1,1,1,1,1,1,30,2,1,3,2,1,1,3,1,2,16,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","mex",53
"309",309,"",11,"1",6,10,5,2,92,23,2.8125,4.0625,3.4375,12,19,10,23,21,12,55,42,97,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,1,35,1,2,1,2,1,2,1,2,3,15,1,1,2,1,2,1,1,9,"below115","below128","below_m","odd","mex",59
"310",310,"3.3",12,"2",6,5,3,1,87,24,2.1875,4.375,3.28125,15,28,10,28,16,14,55,56,111,3,2,1,3,1,1,2,1,1,2,1,1,2,1,2,1,25,1,1,3,1,1,2,1,1,2,13,1,1,2,1,1,1,1,8,"below115","below128","below_m","even","col",46
"311",311,"",13,"1",7,2,1,1,110,22,4.375,3.75,4.0625,25,23,20,35,43,20,108,58,166,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,47,3,3,3,3,2,2,3,3,3,25,1,1,3,1,1,1,1,9,"below115","below128","above_m","odd","col",81
"312",312,"2.9",13,"1",7,5,3,1,83,20,2.1875,2.1875,2.1875,20,23,11,22,18,13,62,45,107,1,2,1,3,2,1,3,3,2,3,3,2,1,3,1,1,32,3,2,2,3,2,1,1,1,3,18,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","col",57
"313",313,"",12,"1",8,9,5,2,113,23,3.4375,3.125,3.28125,12,25,7,26,30,14,63,51,114,3,2,2,3,2,1,2,1,3,3,3,2,2,2,3,3,37,2,2,3,2,1,1,1,2,2,16,1,2,2,1,2,1,1,10,"below115","below128","above_m","odd","mex",63
"314",314,"",13,"1",7,6,1,1,112,15,3.125,2.1875,2.65625,22,22,14,13,24,18,78,35,113,3,3,2,3,2,1,2,2,2,3,1,3,2,3,3,3,38,2,2,2,2,2,1,1,1,2,15,1,1,1,1,1,1,1,7,"below115","below128","above_m","even","col",60
"315",315,"4.2",12,"2",6,4,1,1,109,23,2.8125,3.75,3.28125,14,23,4,20,15,9,42,43,85,2,1,2,1,2,1,2,1,3,2,2,1,2,1,3,2,28,2,1,1,1,1,1,1,1,2,11,1,1,2,1,1,1,1,8,"below115","below128","above_m","odd","col",47
"316",316,"3.7",12,"1",7,5,3,1,93,21,1.875,3.4375,2.65625,12,23,13,22,11,13,49,45,94,2,2,3,1,1,1,1,2,1,2,1,1,1,2,2,1,24,1,1,2,1,1,1,2,1,2,12,1,1,1,1,1,1,1,7,"below115","below128","below_m","even","col",43
"317",317,"",13,"1",8,8,6,2,109,12,2.8125,3.4375,3.125,10,11,11,17,24,14,59,28,87,2,2,2,3,2,2,1,1,2,2,1,2,2,3,2,2,31,1,2,1,1,1,1,1,1,2,11,1,2,2,1,1,1,1,9,"below115","below128","above_m","odd","mex",51
"318",318,"3.5",15,"1",8,5,3,1,78,19,4.0625,3.75,3.90625,15,22,12,21,27,12,66,43,109,2,3,2,2,2,1,2,1,1,3,1,3,3,3,3,3,35,2,3,3,3,3,1,2,3,3,23,1,1,3,1,1,1,1,9,"below115","below128","below_m","even","col",67
"319",319,"3.8",12,"1",6,5,2,1,99,21,2.8125,3.4375,3.125,23,27,14,30,34,14,85,57,142,3,3,2,3,3,2,1,2,2,2,2,2,3,2,3,3,38,2,2,3,3,2,1,1,3,2,19,1,1,1,1,1,1,1,7,"below115","below128","below_m","odd","col",64
"320",320,"",11,"2",6,6,1,1,100,22,2.8125,2.5,2.65625,13,18,10,16,20,8,51,34,85,2,2,2,3,1,1,2,2,2,2,1,2,3,2,3,1,31,3,2,2,3,3,3,2,3,3,24,1,1,1,1,3,1,2,10,"below115","below128","below_m","even","col",65
"321",321,"",13,"1",8,6,1,1,101,24,2.1875,4.0625,3.125,19,26,9,28,24,15,67,54,121,2,2,2,1,1,1,2,1,2,3,1,3,3,3,3,3,33,2,1,3,3,2,1,2,1,3,18,1,2,3,1,3,1,1,12,"below115","below128","below_m","odd","col",63
"322",322,"",12,"2",6,10,5,2,92,19,2.1875,3.125,2.65625,16,21,15,15,24,14,69,36,105,2,2,1,2,2,1,1,1,2,1,2,3,2,3,2,3,30,1,2,1,2,2,3,1,3,2,17,2,2,3,1,1,1,1,11,"below115","below128","below_m","even","mex",58
